isd_code,isd_name,dst_code,dst_name,sch_code,sch_name,sch_type,sch_level,sch_category,add_street,add_city,add_county,add_zip,stdcount_total,prop_ecn_disadvantaged,status_title1_15,status_title1_40,prop_eth_min,status_majority_minority
03,Allegan Area Educational Service Agency,03000,Allegan Area Educational Service Agency,03816,Early College Allegan County,Not Applicable,Other,ISD Non-Instructional Ancillary Facility,310 Thomas St,Allegan,Allegan,49010,NA,NA,NA,NA,NA,NA
03,Allegan Area Educational Service Agency,03000,Allegan Area Educational Service Agency,06730,Hillside Learning Center,Special Education,Elem thru High School,ISD School,212 Grove St,Allegan,Allegan,49010,138,0.427536231884058,1,1,0.2028985507246377,0
03,Allegan Area Educational Service Agency,03000,Allegan Area Educational Service Agency,07254,Tech Center,Vocational/CTE,High School,ISD Unique Education Provider,2891 116th Ave,Allegan,Allegan,49010,NA,NA,NA,NA,NA,NA
03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,00790,Cooper Elementary School,General Education,Elementary,LEA School,7559 N 14th St,Kalamazoo,Kalamazoo,49009,259,0.305019305019305,1,0,0.0694980694980695,0
03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,01403,Gilkey Elementary School,General Education,Elementary,LEA School,707 S Woodhams St,Plainwell,Allegan,49080,393,0.35368956743002544,1,0,0.10687022900763359,0
03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,03065,Plainwell High School,General Education,High School,LEA School,684 102nd Ave,Plainwell,Allegan,49080,815,0.3226993865030675,1,0,0.11779141104294479,0
03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,04056,Starr Elementary School,General Education,Elementary,LEA School,601 School Dr,Plainwell,Allegan,49080,460,0.6195652173913043,1,1,0.1673913043478261,0
03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,06000,Plainwell Middle School,General Education,Middle School,LEA School,720 Brigham St,Plainwell,Allegan,49080,596,0.412751677852349,1,1,0.1325503355704698,0
03,Allegan Area Educational Service Agency,03010,Plainwell Community Schools,08016,Renaissance High School,Alternative Education,Middle_High School,LEA School,798 E Bridge St,Plainwell,Allegan,49080,84,0.7261904761904762,1,1,0.15476190476190477,0
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,00922,Dix Street Elementary School,General Education,Elementary,LEA School,503 Dix St,Otsego,Allegan,49078,316,0.569620253164557,1,1,0.12341772151898735,0
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,02863,Otsego Middle School,General Education,Middle School,LEA School,540 Washington St,Otsego,Allegan,49078,527,0.41935483870967744,1,1,0.09297912713472485,0
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,02864,Washington Street Elementary School,General Education,Elementary,LEA School,538 Washington St,Otsego,Allegan,49078,450,0.5266666666666666,1,1,0.12444444444444444,0
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,02865,Otsego High School,General Education,High School,LEA School,550 Washington St,Otsego,Allegan,49078,751,0.33288948069241014,1,0,0.09054593874833555,0
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,03593,Learn 'n Grow Early Childhood Education Center,Reportable Program,Other,LEA Unique Education Provider,485 18th St,Otsego,Allegan,49078,NA,NA,NA,NA,NA,NA
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,04851,Alamo Elementary School,General Education,Elementary,LEA School,8184 N 6th St,Kalamazoo,Kalamazoo,49009,285,0.32280701754385965,1,0,0.08771929824561403,0
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,09525,Otsego West Campus High School,General Education,High School,LEA School,570 Washington St,Otsego,Allegan,49078,27,0.7777777777777778,1,1,0.037037037037037035,0
03,Allegan Area Educational Service Agency,03020,Otsego Public Schools,09759,Transportation/Maintenance Facility,Not Applicable,Other,LEA Non-Instructional Ancillary Facility,560 Washington St,Otsego,Allegan,49078,NA,NA,NA,NA,NA,NA
03,Allegan Area Educational Service Agency,03030,Allegan Public Schools,00059,L.E. White Middle School,General Education,Middle School,LEA School,3300 115th Ave,Allegan,Allegan,49010,447,0.6890380313199105,1,1,0.15883668903803133,0
03,Allegan Area Educational Service Agency,03030,Allegan Public Schools,00062,Allegan High School,General Education,High School,LEA School,1560 Lincoln Rd,Allegan,Allegan,49010,648,0.5493827160493827,1,1,0.15895061728395063,0
